Order_ID,Order_Date,Category,Product_Name,Quantity,Price,Sales,Region,Customer_Name,Payment_Method
AMZ102897,2023-10-22,Books,Cookbook,3.0,865.88,2597.64,CENTRAL ,Rahul Kumar,Net Banking
AMZ102690,2023-12-08,Office Products,Gel Pens Set,2.0,828.37,1656.74,NORTH,Divya Kumar,Amazon Pay
AMZ104328,2023-02-04,Sports & Fitness,Badminton Racket,1.0,2170.97,2170.97,south,Pooja Singh,Debit Card
AMZ103807,2024-05-27,Grocery & Gourmet,Cooking Oil 1L,3.0,409.16,1227.48,EAST,,Credit Card
AMZ101637,2023-06-16,Home & Kitchen,Electric Kettle,4.0,4040.5,16162.0,South ,Farhan Reddy,UPI
AMZ102671,2024-08-07,Beauty & Personal Care,Perfume 100ml,10.0,156.5,1565.0, West,Nikhil Das,Amazon Pay
AMZ101628,2024-12-27,Beauty & Personal Care,Face Wash,2.0,777.89,1555.78,north,Kavya Malhotra,Amazon Pay
AMZ104791,2024-06-24,Clothing,Formal Shirt,10.0,1816.12,18161.2,East,Zoya Iyer,UPI
AMZ103411,2023-09-28,Toys & Games,Puzzle 1000pc,10.0,1253.79,12537.9,south,Meera Iyer,Net Banking
AMZ100427,2023-06-05,Grocery & Gourmet,Honey 500g,5.0,828.52,4142.6,south,Neha Malhotra,Debit Card
AMZ101639,2023-03-09,Furniture,Bookshelf,9.0,4861.6,43754.4,West,Neha Agarwal,Credit Card
AMZ103470,2023-12-25,Furniture,Office Chair,8.0,5496.85,43974.8,east,Yash Singh,Cash on Delivery
AMZ101704,2024-05-10,Sports & Fitness,Yoga Mat,8.0,1256.91,10055.28, North,Karthik Bhatt,Debit Card
AMZ102740,2024-09-11,Clothing,Yoga Pants,5.0,1327.25,6636.25,SOUTH,Vikram Rao,Credit Card
AMZ105395,2024-01-23,Toys & Games,Puzzle 1000pc,4.0,1133.59,4534.36,North,Farhan Verma,UPI
AMZ105717,2024-04-25,Electronics,Action Camera,2.0,3836.12,7672.24,east,Divya Nair,Cash on Delivery
AMZ103227,2024-10-28,Beauty & Personal Care,Face Serum,4.0,1464.41,5857.64,South,Nikhil Agarwal,UPI
AMZ103143,2023-09-14,Furniture,Study Table,5.0,11756.24,58781.2,east,Ananya Agarwal,Credit Card
AMZ103802,2024-08-16,Furniture,Study Table,9.0,1427.04,12843.36,North,Zoya Chatterjee,Cash on Delivery
AMZ100985,2024-08-02,Grocery & Gourmet,Cooking Oil 1L,8.0,870.06,6960.48,east,Ananya Singh,Credit Card
AMZ104505,2024-02-20,Home & Kitchen,Bed Sheet Set,4.0,4974.96,19899.84,east,Ananya Bose,Debit Card
AMZ103377,2024-05-15,Clothing,Men's T-Shirt,3.0,1115.49,3346.47,Central,Isha Chatterjee,Credit Card
AMZ103525,2023-03-22,Books,Fiction Novel,2.0,123.45,246.9,west,Manoj Rao,Credit Card
AMZ102608,2024-11-25,Electronics,Portable SSD,4.0,3139.8,12559.2,north,Arjun Das,Net Banking
AMZ103685,2023-03-27,Books,Fiction Novel,2.0,215.66,431.32,central,Deepak Bhatt,Debit Card
AMZ105326,2023-11-02,Sports & Fitness,Resistance Bands,2.0,1006.14,2012.28,,Priya Pillai,Amazon Pay
AMZ104494,2024-12-03,Office Products,Stapler,10.0,364.04,3640.4,East,Shreya Bhatt,Debit Card
AMZ101569,2023-04-29,Home & Kitchen,Storage Containers,1.0,2806.58,2806.58,EAST,Rahul Sharma,Net Banking
AMZ103501,2023-07-18,Grocery & Gourmet,Honey 500g,8.0,234.33,1874.64,EAST,Pooja Iyer,Cash on Delivery
AMZ103134,2024-10-26,Grocery & Gourmet,Honey 500g,3.0,668.75,2006.25, West,Ananya Iyer,Amazon Pay
AMZ101499,2023-11-13,Electronics,Laptop Stand,8.0,525.67,4205.36, North,Deepak Menon,Credit Card
AMZ105391,2024-12-29,Sports & Fitness,Dumbbell Set,6.0,1539.14,9234.84,West,Meera Rao,Amazon Pay
AMZ101619,2023-06-21,Office Products,Stapler,6.0,888.7,5332.2,East,Nikhil Iyer,Amazon Pay
AMZ105540,2024-11-09,Sports & Fitness,Yoga Mat,10.0,3062.07,30620.7,South ,Pooja Bose,Credit Card
AMZ100951,2024-12-13,Clothing,Denim Jacket,3.0,1707.54,5122.62,,Lakshmi Nair,Cash on Delivery
AMZ100852,2023-11-05,Toys & Games,Remote Control Car,2.0,1856.49,3712.98,north,Manoj Rao,Net Banking
AMZ103737,2024-01-25,Furniture,Bean Bag,3.0,4999.39,14998.17,CENTRAL ,Aditya Pillai,Net Banking
AMZ101044,2023-09-02,Electronics,Wireless Mouse,9.0,5037.7,45339.3,east,Isha Malhotra,Cash on Delivery
AMZ102828,2024-10-08,Sports & Fitness,Skipping Rope,3.0,1212.4,3637.2, West,Zoya Kumar,Cash on Delivery
AMZ102023,2023-08-31,Grocery & Gourmet,Instant Coffee Jar,10.0,397.34,3973.4, North,Manoj Bhatt,Net Banking
AMZ103101,2023-03-15,Clothing,Running Shoes,3.0,314.07,942.21,East,Tanvi Kapoor,Net Banking
AMZ103400,2024-12-19,Toys & Games,Puzzle 1000pc,2.0,532.01,1064.02, North,Meera Chatterjee,Debit Card
AMZ100611,2023-07-08,Office Products,Notebook Pack,4.0,609.25,2437.0,South ,Vikram Kapoor,UPI
AMZ104406,2023-10-19,Office Products,Printer Paper A4,10.0,278.66,2786.6,central,Tanvi Rao,Cash on Delivery
AMZ102117,2024-06-04,Grocery & Gourmet,Almonds 500g,3.0,127.56,382.68,East,Kavya Kapoor,Debit Card
AMZ104715,2024-07-07,Beauty & Personal Care,Sunscreen SPF50,2.0,1510.1,3020.2,West,Deepak Iyer,Debit Card
AMZ101495,2023-11-01,Sports & Fitness,Badminton Racket,1.0,584.1,584.1,West,Tanvi Kapoor,Amazon Pay
AMZ105078,2023-03-07,Books,Fiction Novel,1.0,550.45,550.45, North,Kavya Iyer,Credit Card
AMZ100327,2023-08-10,Electronics,Wireless Earbuds,10.0,4914.32,49143.2, North,Yash Joshi,Credit Card
AMZ100494,2024-05-12,Electronics,Mechanical Keyboard,6.0,1085.85,6515.1,North,Sneha Verma,Net Banking
AMZ104688,2023-02-10,Furniture,Bean Bag,2.0,2070.19,4140.38,east,Nikhil Malhotra,Credit Card
AMZ103366,2024-07-20,Books,Cookbook,7.0,625.15,4376.05, West,Ritu Kapoor,Net Banking
AMZ100056,2023-03-27,Beauty & Personal Care,Face Serum,4.0,808.68,3234.72,,Anusha Kumar,Net Banking
AMZ103755,2024-02-28,Electronics,USB-C Cable,6.0,2970.34,17822.04,west,Shreya Menon,Debit Card
AMZ101727,2023-11-22,Home & Kitchen,Non-Stick Pan Set,4.0,558.4,2233.6,Central,Sneha Verma,Cash on Delivery
AMZ102728,2023-06-03,Sports & Fitness,Resistance Bands,7.0,318.36,2228.52,north,Manoj Reddy,UPI
AMZ105588,2024-02-13,Clothing,Denim Jacket,7.0,2415.33,16907.31,central,Ritu Iyer,Debit Card
AMZ104204,2023-10-12,Clothing,Running Shoes,1.0,1369.54,1369.54, West,Sanjay Iyer,Net Banking
AMZ101006,2023-02-10,Office Products,Gel Pens Set,9.0,672.19,6049.71,west,Deepak Verma,Net Banking
AMZ104982,2024-06-12,Sports & Fitness,Yoga Mat,3.0,2196.15,6588.45,Central,Imran Kumar,Net Banking
AMZ101355,2023-08-12,Books,Children's Story Book,7.0,568.51,3979.57,NORTH,Neha Bose,Net Banking
AMZ104584,2024-07-26,Clothing,Running Shoes,6.0,1040.07,6240.42,central,Vikram Kumar,Cash on Delivery
AMZ101554,2023-09-25,Furniture,Office Chair,9.0,10547.09,94923.81,EAST,Suresh Das,Credit Card
AMZ103027,2024-11-04,Office Products,Stapler,2.0,486.74,973.48,North,Yash Rao,Net Banking
AMZ101108,2024-04-08,Clothing,Men's T-Shirt,5.0,393.34,1966.7,South,,Amazon Pay
AMZ104161,2023-04-04,Sports & Fitness,Dumbbell Set,2.0,635.7,1271.4,North,Farhan Bose,Cash on Delivery
AMZ104321,2024-05-04,Grocery & Gourmet,Instant Coffee Jar,2.0,888.91,1777.82,North,Ananya Pillai,Cash on Delivery
AMZ103863,2023-04-23,Toys & Games,Remote Control Car,8.0,1190.03,9520.24,west,Isha Singh,Cash on Delivery
AMZ100138,2023-08-24,Toys & Games,Puzzle 1000pc,3.0,847.45,2542.35,Central,Isha Reddy,Net Banking
AMZ101849,2024-07-20,Sports & Fitness,Cricket Bat,3.0,3115.57,9346.71,East,Priya Chatterjee,Debit Card
AMZ102580,2023-10-26,Clothing,Casual Sneakers,1.0,1382.78,1382.78,CENTRAL ,Neha Rao,UPI
AMZ102923,2023-11-14,Books,Self-Help Book,1.0,833.55,833.55,west,Sanjay Bhatt,Credit Card
AMZ101402,2023-05-08,Sports & Fitness,Resistance Bands,10.0,207.08,2070.8,east,Farhan Nair,Credit Card
AMZ101640,2024-06-02,Grocery & Gourmet,Instant Coffee Jar,9.0,417.03,3753.27,NORTH,Isha Pillai,UPI
AMZ104575,2024-06-09,Toys & Games,Soft Toy,1.0,561.49,561.49,South,Ananya Menon,Net Banking
AMZ101258,2024-03-29,Toys & Games,Building Blocks Set,3.0,660.49,1981.47,east,Shreya Chatterjee,Net Banking
AMZ100188,2024-10-14,Books,Children's Story Book,5.0,355.26,1776.3,South,Manoj Pillai,Cash on Delivery
AMZ102908,2023-11-30,Books,Children's Story Book,9.0,116.47,1048.23,central,Rahul Bose,Credit Card
AMZ105261,2024-02-06,Electronics,Laptop Stand,5.0,4835.4,24177.0,east,Meera Bhatt,Cash on Delivery
AMZ101063,2024-11-13,Grocery & Gourmet,Basmati Rice 5kg,8.0,832.88,6663.04,south,Tanvi Singh,Cash on Delivery
AMZ104263,2024-11-30,Home & Kitchen,Vacuum Cleaner,9.0,2447.28,22025.52,CENTRAL ,Aditya Bhatt,Net Banking
AMZ104344,2023-08-26,Clothing,Casual Sneakers,6.0,623.45,3740.7,central,Anusha Pillai,UPI
AMZ101744,2023-04-05,Toys & Games,Puzzle 1000pc,7.0,865.49,6058.43,west,Nikhil Pillai,UPI
AMZ100087,2023-11-08,Home & Kitchen,Non-Stick Pan Set,3.0,1392.11,4176.33,north,Yash Patel,Amazon Pay
AMZ100547,2024-05-01,Beauty & Personal Care,Perfume 100ml,3.0,1272.95,3818.85, North,Meera Bhatt,Net Banking
AMZ100863,2023-07-06,Office Products,Desk Organizer,10.0,897.71,8977.1,SOUTH,Priya Chatterjee,Cash on Delivery
AMZ102034,2023-12-20,Grocery & Gourmet,Basmati Rice 5kg,8.0,339.03,2712.24,east,Zoya Pillai,UPI
AMZ101659,2024-02-13,Books,Self-Help Book,3.0,338.02,1014.06,South ,Karthik Verma,Cash on Delivery
AMZ101959,2023-05-01,Sports & Fitness,Resistance Bands,5.0,802.35,4011.75,south,Pooja Reddy,Cash on Delivery
AMZ102249,2023-08-19,Electronics,Portable SSD,6.0,3560.51,21363.06,West,Deepak Malhotra,Credit Card
AMZ103300,2024-07-24,Clothing,Men's T-Shirt,7.0,738.29,5168.03,North,Lakshmi Rao,Cash on Delivery
AMZ101083,2023-04-20,Sports & Fitness,Badminton Racket,3.0,2465.77,7397.31,NORTH,Yash Agarwal,Cash on Delivery
AMZ105664,2023-01-31,Toys & Games,Soft Toy,1.0,400.48,400.48,north,Farhan Malhotra,UPI
AMZ105355,2023-12-28,Books,Programming Guide,9.0,844.48,7600.32,central,Farhan Kapoor,Amazon Pay
AMZ101213,2023-09-19,Sports & Fitness,Skipping Rope,9.0,1813.81,16324.29,North,Sneha Joshi,Credit Card
AMZ103498,2024-12-18,Office Products,Stapler,6.0,405.46,2432.76,CENTRAL ,Isha Bhatt,Amazon Pay
AMZ100565,2023-11-24,Home & Kitchen,Electric Kettle,3.0,2507.39,7522.17,SOUTH,Priya Kapoor,UPI
AMZ104430,2023-08-22,Toys & Games,Remote Control Car,9.0,759.34,6834.06,CENTRAL ,Imran Kumar,Credit Card
AMZ104156,2023-04-06,Toys & Games,Puzzle 1000pc,6.0,1745.89,10475.34, West,Arjun Gupta,Net Banking
AMZ102423,2023-11-14,Sports & Fitness,Cricket Bat,-3.0,632.92,1898.76,central,Meera Reddy,Debit Card
AMZ101199,2024-02-16,Books,Cookbook,9.0,870.18,7831.62,Central,Karthik Kumar,Net Banking
AMZ104308,2023-03-14,Sports & Fitness,Resistance Bands,9.0,2916.93,26252.37,East,Kavya Sharma,Debit Card
AMZ100177,2024-03-18,Beauty & Personal Care,Face Wash,4.0,1406.25,5625.0,central,,Net Banking
AMZ101973,2024-11-25,Electronics,Portable SSD,4.0,2616.45,10465.8, North,Vikram Bose,Debit Card
AMZ102087,2024-03-28,Sports & Fitness,Yoga Mat,9.0,756.28,6806.52,west,Lakshmi Joshi,Net Banking
AMZ104620,2024-02-23,Electronics,Mechanical Keyboard,9.0,5186.64,46679.76,north,Rohan Das,UPI
AMZ105003,2023-03-28,Home & Kitchen,Bed Sheet Set,5.0,4973.67,24868.35,west,Aditya Singh,Credit Card
AMZ100396,2024-09-19,Beauty & Personal Care,Perfume 100ml,6.0,1466.52,8799.12, West,Divya Kapoor,UPI
AMZ100858,2023-09-02,Home & Kitchen,LED Desk Lamp,8.0,1121.48,8971.84,,Vikram Verma,Credit Card
AMZ101385,2023-08-05,Beauty & Personal Care,Perfume 100ml,10.0,1747.11,17471.1,west,Lakshmi Joshi,Cash on Delivery
AMZ104381,2024-01-22,Clothing,Casual Sneakers,1.0,1082.2,1082.2,east,Manoj Sharma,Net Banking
AMZ101860,2024-12-26,Grocery & Gourmet,Almonds 500g,3.0,545.77,1637.31,CENTRAL ,Imran Patel,Debit Card
AMZ102431,2023-11-12,Home & Kitchen,Storage Containers,7.0,478.2,3347.4,east,Karthik Agarwal,Cash on Delivery
AMZ101291,2023-09-09,Books,Self-Help Book,1.0,633.09,633.09, West,Ritu Malhotra,Cash on Delivery
AMZ103961,2023-03-01,Books,Fiction Novel,1.0,700.93,700.93,CENTRAL ,Priya Kumar,Credit Card
AMZ104872,2023-04-25,Electronics,Smart Watch,9.0,3681.61,33134.49,SOUTH,Sneha Menon,Debit Card
AMZ103297,2023-09-30,Books,Biography,9.0,402.42,3621.78,south,Vivek Menon,Debit Card
AMZ105132,2023-09-24,Beauty & Personal Care,Face Wash,4.0,527.11,2108.44,EAST,Manoj Menon,UPI
AMZ100935,2023-07-27,Toys & Games,Remote Control Car,8.0,557.54,4460.32,central,Aditya Kapoor,Credit Card
AMZ104814,2024-07-13,Grocery & Gourmet,Green Tea Pack,9.0,739.06,6651.54,CENTRAL ,Priya Kumar,UPI
AMZ104720,2023-12-14,Books,Biography,10.0,801.96,8019.6,,Aditya Rao,UPI
AMZ104847,2024-07-02,Electronics,Wireless Earbuds,5.0,2149.82,10749.1,south,Ananya Bhatt,Cash on Delivery
AMZ104037,2023-03-21,Office Products,Desk Organizer,4.0,514.31,2057.24,central,Meera Singh,Amazon Pay
AMZ101642,2024-10-22,Home & Kitchen,Non-Stick Pan Set,9.0,3486.36,31377.24,South,Priya Iyer,Debit Card
AMZ105809,2023-02-13,Furniture,Bedside Table,4.0,6961.58,27846.32,west,Ritu Das,Credit Card
AMZ100329,2023-07-15,Clothing,Denim Jacket,7.0,496.25,3473.75,West,Rahul Chatterjee,Net Banking
AMZ103597,2024-08-17,Home & Kitchen,Non-Stick Pan Set,8.0,2263.34,18106.72,East,,Cash on Delivery
AMZ100868,2024-03-11,Toys & Games,Puzzle 1000pc,8.0,1964.37,15714.96, West,Sneha Verma,Credit Card
AMZ105105,2023-02-24,Grocery & Gourmet,Basmati Rice 5kg,9.0,333.57,3002.13,South ,Neha Bose,Debit Card
AMZ105563,2024-02-17,Electronics,Mechanical Keyboard,8.0,4858.22,38865.76,South,Tanvi Iyer,Credit Card
AMZ105740,2023-10-05,Clothing,Women's Kurti,10.0,1940.43,19404.3,CENTRAL ,Nikhil Gupta,Cash on Delivery
AMZ101821,2024-01-08,Electronics,Smart Watch,10.0,2384.72,23847.2,central,Sneha Gupta,Net Banking
AMZ102618,2023-11-14,Grocery & Gourmet,Instant Coffee Jar,10.0,421.86,4218.6,Central,Vikram Chatterjee,Debit Card
AMZ102814,2024-11-09,Toys & Games,Soft Toy,4.0,1969.73,7878.92,east,Zoya Bhatt,UPI
AMZ103929,2023-11-15,Grocery & Gourmet,Green Tea Pack,6.0,677.44,4064.64, North,Isha Bose,Amazon Pay
AMZ100148,2024-05-04,Furniture,Office Chair,5.0,1764.21,8821.05,CENTRAL ,Lakshmi Patel,Amazon Pay
AMZ102268,2023-10-15,Toys & Games,Puzzle 1000pc,9.0,1633.5,14701.5, North,Pooja Kumar,Net Banking
AMZ104795,2023-02-20,Beauty & Personal Care,Sunscreen SPF50,9.0,704.76,6342.84,East,Kavya Kapoor,Net Banking
AMZ100493,2023-12-30,Clothing,Yoga Pants,5.0,530.57,2652.85,east,Nikhil Gupta,Amazon Pay
AMZ100538,2024-04-08,Home & Kitchen,Electric Kettle,5.0,2500.85,12504.25, West,Pooja Nair,Credit Card
AMZ101404,2024-11-08,Electronics,USB-C Cable,5.0,1259.7,6298.5,South ,,Cash on Delivery
AMZ103293,2023-11-15,Sports & Fitness,Yoga Mat,9.0,1840.13,16561.17,east,Kavya Bose,Amazon Pay
AMZ100020,2023-03-14,Electronics,Action Camera,9.0,1057.05,9513.45,south,,Credit Card
AMZ100001,2024-08-19,Sports & Fitness,Dumbbell Set,1.0,438.04,438.04,West,Sanjay Iyer,
AMZ103453,2024-04-10,Home & Kitchen,Vacuum Cleaner,5.0,3672.15,18360.75,south,Farhan Kapoor,Credit Card
AMZ103933,2023-11-07,Sports & Fitness,Dumbbell Set,6.0,443.96,2663.76,north,Rahul Sharma,Credit Card
AMZ102732,2024-11-26,Grocery & Gourmet,Cooking Oil 1L,9.0,311.71,2805.39,SOUTH,Manoj Patel,UPI
